"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1135","Verify filtering of Products by Name (Z to A)","webkit","Thu Mar 12 20:36:51 UTC 2026","passed","Thu Mar 12 20:36:52 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","1309","testing the logins for visual_user","webkit","Thu Mar 12 20:35:08 UTC 2026","passed","Thu Mar 12 20:35:09 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1263","testing the logins for error_user","webkit","Thu Mar 12 20:35:06 UTC 2026","passed","Thu Mar 12 20:35:08 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","645","testing the logins for error_user","chromium","Thu Mar 12 20:31:12 UTC 2026","passed","Thu Mar 12 20:31:13 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","627","Verify filtering of Products by Price (low to high)","chromium","Thu Mar 12 20:32:56 UTC 2026","passed","Thu Mar 12 20:32:56 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","582","Verify filtering of Products by Name (Z to A)","chromium","Thu Mar 12 20:32:55 UTC 2026","passed","Thu Mar 12 20:32:56 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","699","Verify filtering of Products by Name (A to Z)","chromium","Thu Mar 12 20:32:54 UTC 2026","passed","Thu Mar 12 20:32:55 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","30097","testing user purchase flow","firefox","Thu Mar 12 20:34:15 UTC 2026","broken","Thu Mar 12 20:34:45 UTC 2026","e2e Checkout","e2e/checkout-e2e.spec.ts","",""
"","1981","testing the logins for standard_user","firefox","Thu Mar 12 20:32:58 UTC 2026","passed","Thu Mar 12 20:33:00 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1094","Verify filtering of Products by Price (high to low)","webkit","Thu Mar 12 20:36:53 UTC 2026","passed","Thu Mar 12 20:36:55 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","893","testing the logins for locked_out_user","firefox","Thu Mar 12 20:33:00 UTC 2026","passed","Thu Mar 12 20:33:01 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","32327","testing user purchase flow","chromium","Thu Mar 12 20:32:21 UTC 2026","broken","Thu Mar 12 20:32:53 UTC 2026","e2e Checkout","e2e/checkout-e2e.spec.ts","",""
"","1100","Verify filtering of Products by Price (low to high)","webkit","Thu Mar 12 20:36:52 UTC 2026","passed","Thu Mar 12 20:36:53 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","970","Verify filtering of Products by Name (Z to A)","firefox","Thu Mar 12 20:34:49 UTC 2026","passed","Thu Mar 12 20:34:50 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","3710","testing the logins for standard_user","webkit","Thu Mar 12 20:34:53 UTC 2026","passed","Thu Mar 12 20:34:57 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","924","testing the logins for problem_user","firefox","Thu Mar 12 20:33:01 UTC 2026","passed","Thu Mar 12 20:33:02 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","628","testing the logins for problem_user","chromium","Thu Mar 12 20:31:06 UTC 2026","passed","Thu Mar 12 20:31:06 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","872","Verify filtering of Products by Price (high to low)","firefox","Thu Mar 12 20:34:51 UTC 2026","passed","Thu Mar 12 20:34:52 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","590","Verify filtering of Products by Price (high to low)","chromium","Thu Mar 12 20:32:56 UTC 2026","passed","Thu Mar 12 20:32:57 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","669","authenticate","setup","Thu Mar 12 20:31:02 UTC 2026","passed","Thu Mar 12 20:31:03 UTC 2026","","setup/auth.setup.ts","",""
"","1789","Verify filtering of Products by Name (A to Z)","firefox","Thu Mar 12 20:34:47 UTC 2026","passed","Thu Mar 12 20:34:49 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","902","Verify filtering of Products by Price (low to high)","firefox","Thu Mar 12 20:34:50 UTC 2026","passed","Thu Mar 12 20:34:51 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","1096","testing the logins for locked_out_user","webkit","Thu Mar 12 20:34:58 UTC 2026","passed","Thu Mar 12 20:34:59 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","32303","testing user purchase flow","webkit","Thu Mar 12 20:36:16 UTC 2026","broken","Thu Mar 12 20:36:49 UTC 2026","e2e Checkout","e2e/checkout-e2e.spec.ts","",""
"","968","testing the logins for visual_user","firefox","Thu Mar 12 20:33:09 UTC 2026","passed","Thu Mar 12 20:33:10 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1276","testing the logins for problem_user","webkit","Thu Mar 12 20:34:59 UTC 2026","passed","Thu Mar 12 20:35:00 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","979","testing the logins for error_user","firefox","Thu Mar 12 20:33:08 UTC 2026","passed","Thu Mar 12 20:33:09 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","564","testing the logins for locked_out_user","chromium","Thu Mar 12 20:31:05 UTC 2026","passed","Thu Mar 12 20:31:06 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1210","Verify filtering of Products by Name (A to Z)","webkit","Thu Mar 12 20:36:50 UTC 2026","passed","Thu Mar 12 20:36:51 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","674","testing the logins for standard_user","chromium","Thu Mar 12 20:31:04 UTC 2026","passed","Thu Mar 12 20:31:05 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","5922","testing the logins for performance_glitch_user","firefox","Thu Mar 12 20:33:02 UTC 2026","passed","Thu Mar 12 20:33:08 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","6314","testing the logins for performance_glitch_user","webkit","Thu Mar 12 20:35:00 UTC 2026","passed","Thu Mar 12 20:35:06 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","5844","testing the logins for performance_glitch_user","chromium","Thu Mar 12 20:31:06 UTC 2026","passed","Thu Mar 12 20:31:12 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","624","testing the logins for visual_user","chromium","Thu Mar 12 20:31:13 UTC 2026","passed","Thu Mar 12 20:31:14 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
