"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","815","testing the logins for visual_user","firefox","Wed Mar 11 23:11:25 UTC 2026","passed","Wed Mar 11 23:11:26 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1090","testing the logins for problem_user","webkit","Wed Mar 11 23:11:35 UTC 2026","passed","Wed Mar 11 23:11:36 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1076","testing the logins for error_user","webkit","Wed Mar 11 23:11:43 UTC 2026","passed","Wed Mar 11 23:11:44 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","535","testing the logins for visual_user","chromium","Wed Mar 11 23:11:11 UTC 2026","passed","Wed Mar 11 23:11:12 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","826","testing user purchase flow","chromium","Wed Mar 11 23:11:12 UTC 2026","passed","Wed Mar 11 23:11:13 UTC 2026","e2e Checkout","e2e/checkout-e2e.spec.ts","",""
"","669","testing the logins for locked_out_user","firefox","Wed Mar 11 23:11:17 UTC 2026","passed","Wed Mar 11 23:11:18 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","553","testing the logins for problem_user","chromium","Wed Mar 11 23:11:04 UTC 2026","passed","Wed Mar 11 23:11:05 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","454","testing the logins for locked_out_user","chromium","Wed Mar 11 23:11:04 UTC 2026","passed","Wed Mar 11 23:11:04 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1178","testing user purchase flow","firefox","Wed Mar 11 23:11:26 UTC 2026","passed","Wed Mar 11 23:11:27 UTC 2026","e2e Checkout","e2e/checkout-e2e.spec.ts","",""
"","6128","testing the logins for performance_glitch_user","webkit","Wed Mar 11 23:11:36 UTC 2026","passed","Wed Mar 11 23:11:43 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","5668","testing the logins for performance_glitch_user","firefox","Wed Mar 11 23:11:18 UTC 2026","passed","Wed Mar 11 23:11:24 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1638","testing user purchase flow","webkit","Wed Mar 11 23:11:45 UTC 2026","passed","Wed Mar 11 23:11:47 UTC 2026","e2e Checkout","e2e/checkout-e2e.spec.ts","",""
"","5794","testing the logins for performance_glitch_user","chromium","Wed Mar 11 23:11:05 UTC 2026","passed","Wed Mar 11 23:11:11 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","771","testing the logins for error_user","firefox","Wed Mar 11 23:11:24 UTC 2026","passed","Wed Mar 11 23:11:25 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","701","testing the logins for problem_user","firefox","Wed Mar 11 23:11:18 UTC 2026","passed","Wed Mar 11 23:11:18 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","945","testing the logins for locked_out_user","webkit","Wed Mar 11 23:11:34 UTC 2026","passed","Wed Mar 11 23:11:35 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","538","testing the logins for error_user","chromium","Wed Mar 11 23:11:11 UTC 2026","passed","Wed Mar 11 23:11:11 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1132","testing the logins for visual_user","webkit","Wed Mar 11 23:11:44 UTC 2026","passed","Wed Mar 11 23:11:45 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","2582","testing the logins for standard_user","firefox","Wed Mar 11 23:11:14 UTC 2026","passed","Wed Mar 11 23:11:17 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","630","testing the logins for standard_user","chromium","Wed Mar 11 23:11:01 UTC 2026","passed","Wed Mar 11 23:11:02 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","4964","testing the logins for standard_user","webkit","Wed Mar 11 23:11:29 UTC 2026","passed","Wed Mar 11 23:11:34 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
