"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","941","Verify filtering of Products by Price (high to low)","firefox","Thu Mar 12 20:39:52 UTC 2026","passed","Thu Mar 12 20:39:53 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","4350","testing the logins for standard_user","webkit","Thu Mar 12 20:39:55 UTC 2026","passed","Thu Mar 12 20:39:59 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","892","authenticate","setup","Thu Mar 12 20:39:17 UTC 2026","passed","Thu Mar 12 20:39:18 UTC 2026","","setup/auth.setup.ts","",""
"","930","Verify filtering of Products by Name (Z to A)","firefox","Thu Mar 12 20:39:50 UTC 2026","passed","Thu Mar 12 20:39:51 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","941","testing the logins for problem_user","firefox","Thu Mar 12 20:39:38 UTC 2026","passed","Thu Mar 12 20:39:39 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","682","testing the logins for problem_user","chromium","Thu Mar 12 20:39:22 UTC 2026","passed","Thu Mar 12 20:39:22 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1099","testing the logins for visual_user","firefox","Thu Mar 12 20:39:46 UTC 2026","passed","Thu Mar 12 20:39:48 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1255","Verify filtering of Products by Name (A to Z)","webkit","Thu Mar 12 20:40:13 UTC 2026","passed","Thu Mar 12 20:40:14 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","629","Verify filtering of Products by Price (high to low)","chromium","Thu Mar 12 20:39:33 UTC 2026","passed","Thu Mar 12 20:39:33 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","921","Verify filtering of Products by Price (low to high)","firefox","Thu Mar 12 20:39:51 UTC 2026","passed","Thu Mar 12 20:39:52 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","633","Verify filtering of Products by Name (A to Z)","chromium","Thu Mar 12 20:39:31 UTC 2026","passed","Thu Mar 12 20:39:32 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
"","917","testing the logins for locked_out_user","firefox","Thu Mar 12 20:39:37 UTC 2026","passed","Thu Mar 12 20:39:38 UTC 2026","data-driven Authentication","authentication/login.spec.ts","",""
"","1278","Verify filtering of Products by Price (low to high)","webkit","Thu Mar 12 20:40:16 UTC 2026","passed","Thu Mar 12 20:40:17 UTC 2026","Inventory filtering Functionality","features/producting-filtering.spec.ts","",""
